enrollment_id,participant_id,enrollment_date,city,program_center,completion_status
1,Mayor Sarah Johnson|s.johnson@baltimore.gov|Title:Mayor|Tenure:2020-Present|Joined:2023-01-15,2023-02-01,"Baltimore, MD","GovEx,GovEx","Completed:Data Governance Fundamentals:92%,Completed:Performance Management Systems:88%"
2,Chief Innovation Officer Marcus Williams|m.williams@detroit.gov|Title:Chief Innovation Officer|Tenure:2022-Present|Joined:2023-03-10,2023-03-15,"Detroit, MI","BCPI,BCPI","Completed:Innovation 101:95%,Completed:Digital Transformation Strategy:91%"
3,CTO Lisa Chen|l.chen@sf.gov|Title:Chief Technology Officer|Tenure:2021-Present|Joined:2022-11-20,2022-12-01,"San Francisco, CA","GovEx,GovEx,BCPI","Completed:Data Visualization for Leaders:97%,Completed:Open Data Implementation:94%,Completed:Innovation Lab Setup:89%"
4,Deputy Mayor David Rodriguez|d.rodriguez@phoenix.gov|Title:Deputy Mayor|Tenure:2023-Present|Joined:2023-02-05,2023-02-15,"Phoenix, AZ","BCPI,BCPI","Completed:Local Infrastructure Seminar:87%,Completed:Public-Private Partnership Design:93%"
5,Chief of Staff Amanda Thompson|a.thompson@baltimore.gov|Title:Chief of Staff|Tenure:2022-Present|Joined:2023-01-08,2023-01-15,"Baltimore, MD","GovEx,GovEx","Completed:Evidence-Based Policy Making:90%,Completed:Data Analytics for Government:94%"
6,Innovation Director James Park|j.park@seattle.gov|Title:Innovation Director|Tenure:2021-Present|Joined:2022-10-15,2022-11-01,"Seattle, WA","BCPI,BCPI,BCPI","Completed:Innovation 101:96%,Completed:Civic Technology Implementation:92%,Completed:Smart City Strategy:98%"
7,City Manager Maria Gonzalez|m.gonzalez@miami.gov|Title:City Manager|Tenure:2020-Present|Joined:2023-02-20,2023-03-01,"Miami, FL","GovEx,GovEx","Completed:Performance Measurement:89%,In Progress:Budget Analytics:75%"
8,Chief Data Officer Robert Kim|r.kim@sf.gov|Title:Chief Data Officer|Tenure:2022-Present|Joined:2023-01-25,2023-02-01,"San Francisco, CA","GovEx,GovEx,GovEx","Completed:Data Governance Fundamentals:93%,Completed:Open Data Implementation:91%,Completed:Data Privacy in Government:95%"
9,Mayor Jennifer Davis|j.davis@austin.gov|Title:Mayor|Tenure:2023-Present|Joined:2022-12-10,2023-01-05,"Austin, TX","BCPI,BCPI,BCPI","Completed:Innovation 101:94%,Completed:Public Innovation Lab:96%,Completed:Community Engagement 2.0:91%"
10,Budget Director Michael Brown|m.brown@detroit.gov|Title:Budget Director|Tenure:2021-Present|Joined:2023-01-30,2023-02-10,"Detroit, MI","GovEx,GovEx,GovEx","Completed:Budget Analytics:88%,Completed:Performance Management Systems:92%,In Progress:Data-Driven Decision Making:68%"
11,Deputy CTO Ashley Wilson|a.wilson@baltimore.gov|Title:Deputy CTO|Tenure:2023-Present|Joined:2023-03-05,2023-03-20,"Baltimore, MD","BCPI,BCPI","Completed:Digital Government Strategy:89%,In Progress:Civic Technology Implementation:72%"
12,Policy Director Carlos Martinez|c.martinez@phoenix.gov|Title:Policy Director|Tenure:2022-Present|Joined:2022-11-30,2022-12-15,"Phoenix, AZ","GovEx,GovEx,BCPI","Completed:Evidence-Based Policy Making:91%,Completed:Data Analytics for Government:89%,Completed:Innovation Lab Setup:93%"
13,Chief Innovation Officer Nicole Adams|n.adams@baltimore.gov|Title:Chief Innovation Officer|Tenure:2022-Present|Joined:2023-01-12,2023-01-20,"Baltimore, MD","BCPI,BCPI,BCPI","Completed:Innovation 101:97%,Completed:Public Innovation Lab:95%,Completed:Smart City Strategy:92%"
14,Data Analyst Kevin Lee|k.lee@sf.gov|Title:Senior Data Analyst|Tenure:2021-Present|Joined:2023-02-28,2023-03-05,"San Francisco, CA","GovEx,GovEx","Completed:Data Visualization for Leaders:94%,Completed:Performance Measurement:88%"
15,Innovation Manager Rachel Green|r.green@austin.gov|Title:Innovation Manager|Tenure:2021-Present|Joined:2022-12-05,2022-12-15,"Austin, TX","BCPI,BCPI,BCPI","Completed:Digital Transformation Strategy:96%,Completed:Community Engagement 2.0:93%,Completed:Civic Technology Implementation:91%"
16,Mayor Pro Tem Thomas Wilson|t.wilson@nashville.gov|Title:Mayor Pro Tem|Tenure:2022-Present|Joined:2023-01-20,2023-02-01,"Nashville, TN","BCPI,BCPI","Completed:Local Infrastructure Seminar:85%,Completed:Public-Private Partnership Design:90%"
17,Chief Performance Officer Diana Chang|d.chang@denver.gov|Title:Chief Performance Officer|Tenure:2021-Present|Joined:2023-02-15,2023-03-01,"Denver, CO","GovEx,GovEx,GovEx","Completed:Performance Management Systems:93%,Completed:Data-Driven Decision Making:91%,In Progress:Evidence-Based Policy Making:55%"
18,Innovation Coordinator Alex Rivera|a.rivera@portland.gov|Title:Innovation Coordinator|Tenure:2023-Present|Joined:2023-03-01,2023-03-10,"Portland, OR","BCPI,BCPI","Completed:Innovation 101:92%,Completed:Smart City Strategy:87%"
19,Deputy City Manager Laura Kim|l.kim@columbus.gov|Title:Deputy City Manager|Tenure:2020-Present|Joined:2023-01-05,2023-01-15,"Columbus, OH","GovEx,GovEx,BCPI","Completed:Budget Analytics:87%,Completed:Performance Measurement:89%,In Progress:Innovation Lab Setup:42%"
20,Chief Strategy Officer Mark Thompson|m.thompson@atlanta.gov|Title:Chief Strategy Officer|Tenure:2022-Present|Joined:2022-12-20,2023-01-05,"Atlanta, GA","BCPI,BCPI,BCPI","Completed:Digital Transformation Strategy:94%,Completed:Public Innovation Lab:92%,Completed:Community Engagement 2.0:88%"
