record_id,leader_info,course_enrollment,city_data,program_center,completion_status
1,"Mayor Sarah Johnson|s.johnson@baltimore.gov|Title:Mayor|Tenure:2020-Present|Joined:2023-01-15","Data Governance Fundamentals~8 weeks~2023-02-01~2023-03-28|Performance Management Systems~6 weeks~2023-04-10~2023-05-22","Baltimore, MD|Population:585000|Region:Mid-Atlantic|Budget:$4.2B","GovEx,GovEx","Completed:Data Governance Fundamentals:92%,Completed:Performance Management Systems:88%"
2,"Chief Innovation Officer Marcus Williams|m.williams@detroit.gov|Title:Chief Innovation Officer|Tenure:2022-Present|Joined:2023-03-10","Innovation 101~4 weeks~2023-03-15~2023-04-12|Digital Transformation Strategy~10 weeks~2023-04-20~2023-06-29","Detroit, MI|Population:639000|Region:Great Lakes|Budget:$1.1B","BCPI,BCPI","Completed:Innovation 101:95%,Completed:Digital Transformation Strategy:91%"
3,"CTO Lisa Chen|l.chen@sf.gov|Title:Chief Technology Officer|Tenure:2021-Present|Joined:2022-11-20","Data Visualization for Leaders~6 weeks~2022-12-01~2023-01-12|Open Data Implementation~8 weeks~2023-01-20~2023-03-17|Innovation Lab Setup~12 weeks~2023-04-01~2023-06-24","San Francisco, CA|Population:815000|Region:West Coast|Budget:$14.6B","GovEx,GovEx,BCPI","Completed:Data Visualization for Leaders:97%,Completed:Open Data Implementation:94%,Completed:Innovation Lab Setup:89%"
4,"Deputy Mayor David Rodriguez|d.rodriguez@phoenix.gov|Title:Deputy Mayor|Tenure:2023-Present|Joined:2023-02-05","Local Infrastructure Seminar~10 weeks~2023-02-15~2023-04-26|Public-Private Partnership Design~8 weeks~2023-05-01~2023-06-26","Phoenix, AZ|Population:1680000|Region:Southwest|Budget:$5.8B","BCPI,BCPI","Completed:Local Infrastructure Seminar:87%,Completed:Public-Private Partnership Design:93%"
5,"Chief of Staff Amanda Thompson|a.thompson@baltimore.gov|Title:Chief of Staff|Tenure:2022-Present|Joined:2023-01-08","Evidence-Based Policy Making~12 weeks~2023-01-15~2023-04-09|Data Analytics for Government~8 weeks~2023-04-15~2023-06-10","Baltimore, MD|Population:585000|Region:Mid-Atlantic|Budget:$4.2B","GovEx,GovEx","Completed:Evidence-Based Policy Making:90%,Completed:Data Analytics for Government:94%"
6,"Innovation Director James Park|j.park@seattle.gov|Title:Innovation Director|Tenure:2021-Present|Joined:2022-10-15","Innovation 101~4 weeks~2022-11-01~2022-11-29|Civic Technology Implementation~14 weeks~2022-12-05~2023-03-14|Smart City Strategy~10 weeks~2023-03-20~2023-05-29","Seattle, WA|Population:750000|Region:Pacific Northwest|Budget:$7.4B","BCPI,BCPI,BCPI","Completed:Innovation 101:96%,Completed:Civic Technology Implementation:92%,Completed:Smart City Strategy:98%"
7,"City Manager Maria Gonzalez|m.gonzalez@miami.gov|Title:City Manager|Tenure:2020-Present|Joined:2023-02-20","Performance Measurement~10 weeks~2023-03-01~2023-05-10|Budget Analytics~8 weeks~2023-05-15~2023-07-10","Miami, FL|Population:470000|Region:Southeast|Budget:$1.4B","GovEx,GovEx","Completed:Performance Measurement:89%,In Progress:Budget Analytics:75%"
8,"Chief Data Officer Robert Kim|r.kim@sf.gov|Title:Chief Data Officer|Tenure:2022-Present|Joined:2023-01-25","Data Governance Fundamentals~8 weeks~2023-02-01~2023-03-29|Open Data Implementation~8 weeks~2023-04-05~2023-05-31|Data Privacy in Government~6 weeks~2023-06-05~2023-07-17","San Francisco, CA|Population:815000|Region:West Coast|Budget:$14.6B","GovEx,GovEx,GovEx","Completed:Data Governance Fundamentals:93%,Completed:Open Data Implementation:91%,Completed:Data Privacy in Government:95%"
9,"Mayor Jennifer Davis|j.davis@austin.gov|Title:Mayor|Tenure:2023-Present|Joined:2022-12-10","Innovation 101~4 weeks~2023-01-05~2023-02-02|Public Innovation Lab~12 weeks~2023-02-10~2023-05-05|Community Engagement 2.0~8 weeks~2023-05-10~2023-07-05","Austin, TX|Population:965000|Region:South Central|Budget:$4.7B","BCPI,BCPI,BCPI","Completed:Innovation 101:94%,Completed:Public Innovation Lab:96%,Completed:Community Engagement 2.0:91%"
10,"Budget Director Michael Brown|m.brown@detroit.gov|Title:Budget Director|Tenure:2021-Present|Joined:2023-01-30","Budget Analytics~8 weeks~2023-02-10~2023-04-07|Performance Management Systems~6 weeks~2023-04-15~2023-05-27|Data-Driven Decision Making~10 weeks~2023-06-01~2023-08-10","Detroit, MI|Population:639000|Region:Great Lakes|Budget:$1.1B","GovEx,GovEx,GovEx","Completed:Budget Analytics:88%,Completed:Performance Management Systems:92%,In Progress:Data-Driven Decision Making:68%"
